drug_name,mapping
ATKED*FL 1000UI+FL 20ML+SET,ATKED 1000 UI/ 20 ml Polvere e solvente per soluzione per infusione
CLONIDINA CL LIM*10F 150MCG/ML,CLONIDINA CLORIDRATO Bioindustria L.I.M. 150 microgrammi/ml soluzione iniettabile
PERJETA*EV 1F 420MG 30MG/ML,Perjeta 420 mg concentrato per soluzione per infusione
CISATRACURIO MY*5F 10ML 2MG/ML,"Cisatracurio Mylan Pharma 2 mg/ml, soluzione iniettabile o per infusione"
CETIRIZINA TEVA*20CPR RIV 10MG,Cetirizina Teva 10 mg compresse rivestite con film
IMATINIB ACC*120CPR RIV 100MG,Imatinib Accord 100 mg compresse rivestite con film
"LONQUEX*SC 1SIR 6MG 0,6ML+DISP","Lonquex 6 mg/0,6 mL soluzione iniettabile"
TAFINLAR*120CPS 50MG FL,Tafinlar 50 mg capsule rigide
REMSIMA*EV FL 100MG,Remsima 100 mg polvere per concentrato per soluzione per infusione
RAPIVA*INFUS 10FL 50ML 20MG/ML,Le informazioni seguenti sono destinate esclusivamente ai medici o agli operatori sanitari:
PREDNISONE TEVA*10CPR 25MG,Prednisone Teva 25 mg compresse
MEKINIST*30CPR RIV 2MG FL,"Mekinist 0,5 mg compresse rivestite con film"
"ACCOFIL*1SIR 30MU 0,5ML+AGO","Accofil 30 MU/0,5 mL (0,6 mg/mL) soluzione iniettabile/infusione in siringa preriempita"
CYRAMZA*EV 1FL 10ML 10MG/ML,Cyramza 10 mg/ml concentrato per soluzione per infusione
CYRAMZA*EV 1FL 50ML 10MG/ML,Cyramza 10 mg/ml concentrato per soluzione per infusione
OSSICODONE MOLT*5F 1ML 10MG/ML,"Ossicodone Molteni 10 mg/ml, soluzione iniettabile o per infusione"
OSSICODONE MOLT*5F 2ML 10MG/ML,"Ossicodone Molteni 10 mg/ml, soluzione iniettabile o per infusione"
"AKYNZEO*1CPS 300MG+0,5MG","Akynzeo 300 mg/0,5 mg capsule rigide"
PALONOSETRON FRE*10FL 250MCG,Palonosetron Fresenius Kabi 250 microgrammi soluzione iniettabile
"GARDASIL 9*IM 1SIR 0,5ML+2AGHI",Gardasil 9** **sospensione inie** **ttabile
ESMOLOLO CL HIK*10FL 10ML100MG,ESMOLOLO CLORIDRATO HIKMA 10 mg/ml Soluzione iniettabile
OPDIVO*INFUS 1FL 4ML 10MG/ML,OPDIVO 10 mg/mL concentrato per soluzione per infusione
OPDIVO*INFUS 1FL 10ML 10MG/ML,OPDIVO 10 mg/mL concentrato per soluzione per infusione
BENDAMUSTINA ACC*5FL 25MG,"Bendamustina Accord 2,5 mg/ml polvere per concentrato per soluzione per infusione"
BENDAMUSTINA ACC*5FL 100MG,"Bendamustina Accord 2,5 mg/ml polvere per concentrato per soluzione per infusione"
"ZERBAXA*EV 10FL POLV 1G+0,5G","Zerbaxa 1** **g / 0,5** **g polvere per concentrato per soluzione per infusione"
CRESEMBA*EV POLV1FL 10ML 200MG,CRESEMBA 100 mg capsule rigide
CRESEMBA*14CPS 100MG,CRESEMBA 100 mg capsule rigide
CASPOFUNGIN MY*FL POLV 50MG,Caspofungin Mylan 50 mg polvere per concentrato per soluzione per infusione
CASPOFUNGIN MY*FL POLV 70MG,Caspofungin Mylan 70 mg polvere per concentrato per soluzione per infusione
DARZALEX*EV 1FL 5ML 20MG/ML,DARZALEX 1800 mg soluzione iniettabile
DARZALEX*EV 1FL 20ML 20MG/ML,DARZALEX 1800 mg soluzione iniettabile
CRYSTALSOL*10SAC EV 1000ML,Crystalsol soluzione per infusione
DAPTOMICINA XE*1FL POLV 500MG,Daptomicina Xellia 500 mg polvere per soluzione iniettabile/infusione
DAPTOMICINA HIK*1FL POLV 350MG,Daptomicina Hikma 350 mg polvere per soluzione iniettabile/per infusione
IBRANCE*21CPS 75MG,IBRANCE 75 mg capsule rigide
IBRANCE*21CPS 100MG,IBRANCE 100 mg capsule rigide
IBRANCE*21CPS 125MG,IBRANCE 125 mg capsule rigide
COLISTIMETATO ACC*10F1000000UI,Colistimetato Accord 1 milione di Unità Internazionali (UI) polvere per soluzione iniettabile e per
COLISTIMETATO HI*EV IN10FL1MUI,Colistimetato Hikma 2 000 000 UI
BAVENCIO*EV 1FL 10ML 20MG/ML,Bavencio 20 mg/mL concentrato per soluzione per infusione
ZEJULA*84CPS 100MG,Zejula 100 mg capsule rigide
MICOFENOLATO M TIL*50CPR 500MG,Micofenolato Mofetile Tillomed 500 mg compresse rivestite con film
HERZUMA*EV 1FL 150MG,Herzuma 150 mg polvere per concentrato per soluzione per infusione
LAPRYSTA*56CPR RIV 150MG,Laprysta 50 mg compresse rivestite con film
